合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
豆油 (y2107),8940,9564/8316,20%,20%,17880元,0.2元,0.2元,0元,20,0.2元,19.8,,0.1107%
菜籽油 (OI209),10326,10946/9706,7%,7%,7228.2元,2元,2元,0元,10,2元,8,,0.1107%
线材 (wr2202),5809,6389/5228,12%,12%,6970.8元,0.4/万分之,0.4/万分之,0/万分之,10,2.3元,7.7,,0.1105%
豆油 (y2108),8998,9626/8370,20%,20%,17996元,0.2元,0.2元,0元,20,0.2元,19.8,,0.1100%
锰硅 (SM108),7736,8202/7270,20%,20%,7736元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1099%
线材 (wr2204),5871,6458/5283,12%,12%,7045.2元,0.4/万分之,0.4/万分之,0/万分之,10,2.3元,7.7,,0.1093%
菜籽油 (OI207),10502,11133/9871,7%,7%,7351.4元,2元,2元,0元,10,2元,8,,0.1088%
焦煤 (jm2107),2200,2376/2024,20%,20%,26400元,0.06/万分之,0.06/万分之,0.06/万分之,30,1.6元,28.4,,0.1076%
菜籽油 (OI205),10628,11266/9990,7%,7%,7439.6元,2元,2元,0元,10,2元,8,,0.1075%
棕榈 (p2106),9280,10022/8538,20%,20%,18560元,0.2元,0.2元,0元,20,0.2元,19.8,,0.1067%
纤维板 (fb2109),1223,1296/1150,20%,20%,2446元,1/万分之,1/万分之,1/万分之,5,2.4元,2.6,,0.1063%
线材 (wr2201),5993,6592/5393,12%,12%,7191.6元,0.4/万分之,0.4/万分之,0/万分之,10,2.4元,7.6,,0.1057%
玻璃 (FG112),2535,2713/2357,15%,15%,7605元,6元,6元,6元,20,12元,8,,0.1052%
菜籽油 (OI203),10869,11522/10216,7%,7%,7608.3元,2元,2元,0元,10,2元,8,,0.1051%
线材 (wr2112),6039,6642/5435,12%,12%,7246.8元,0.4/万分之,0.4/万分之,0/万分之,10,2.4元,7.6,,0.1049%
线材 (wr2111),6056,6661/5450,12%,12%,7267.2元,0.4/万分之,0.4/万分之,0/万分之,10,2.4元,7.6,,0.1046%
菜籽油 (OI201),10961,11619/10303,7%,7%,7672.7元,2元,2元,0元,10,2元,8,主力合约,0.1043%
棕榈 (p2108),9612,10380/8844,20%,20%,19224元,0.2元,0.2元,0元,20,0.2元,19.8,,0.1030%
沪铝 (al2106),18500,20165/16835,20%,20%,18500元,3元,3元,3元,25,6元,19,,0.1027%
硅铁 (SF107),8296,8794/7798,20%,20%,8296元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1025%
硅铁 (SF106),8314,8814/7814,20%,20%,8314元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1022%
尿素 (UR106),2458,2606/2310,20%,20%,9832元,5元,5元,5元,20,10元,10,,0.1017%
红枣 (CJ112),13800,14770/12830,10%,10%,6900元,9元,9元,9元,25,18元,7,,0.1014%
沪锌 (zn2107),21850,23595/20100,20%,20%,21850元,3元,3元,0元,25,3元,22,,0.1007%
红枣 (CJ201),13915,14890/12940,10%,10%,6957.5元,9元,9元,9元,25,18元,7,主力合约,0.1006%
线材 (wr2110),6225,6847/5602,12%,12%,7470元,0.4/万分之,0.4/万分之,0/万分之,10,2.5元,7.5,,0.1004%
黄大豆2号 (b2107),3994,4313/3675,20%,20%,7988元,1元,1元,1元,10,2元,8,,0.1002%
玻璃 (FG111),2678,2866/2490,15%,15%,8034元,6元,6元,6元,20,12元,8,,0.0996%
玻璃 (FG110),2688,2877/2499,15%,15%,8064元,6元,6元,6元,20,12元,8,,0.0992%
沪铝 (al2107),19245,20780/17705,20%,20%,19245元,3元,3元,3元,25,6元,19,,0.0987%
沪锌 (zn2108),22370,24155/20580,20%,20%,22370元,3元,3元,0元,25,3元,22,,0.0983%
尿素 (UR109),2546,2699/2393,20%,20%,10184元,5元,5元,5元,20,10元,10,,0.0982%
沪锌 (zn2106),22430,24445/20410,20%,20%,22430元,3元,3元,0元,25,3元,22,,0.0981%
尿素 (UR108),2567,2722/2412,20%,20%,10268元,5元,5元,5元,20,10元,10,,0.0974%
沪锌 (zn2109),22665,24475/20850,20%,20%,22665元,3元,3元,0元,25,3元,22,,0.0971%
郑麦 (WH107),2633,2765/2501,20%,20%,10532元,5元,5元,5元,20,10元,10,,0.0949%
沪铝 (al2108),20050,21650/18445,20%,20%,20050元,3元,3元,3元,25,6元,19,,0.0948%
焦炭 (j2106),2493.5,2692.5/2294.5,20%,20%,49870元,0.06/万分之,0.06/万分之,0.06/万分之,50,3元,47,,0.0942%
棕榈 (p2109),9298,10040/8556,20%,20%,18596元,2.5元,2.5元,0元,20,2.5元,17.5,,0.0941%
硅铁 (SF108),9066,9610/8522,20%,20%,9066元,1.5元,1.5元,0元,10,1.5元,8.5,,0.0938%
纤维板 (fb2108),1282.5,1359/1206,20%,20%,2565元,1/万分之,1/万分之,1/万分之,5,2.6元,2.4,,0.0936%
纤维板 (fb2107),1283,1359.5/1206.5,20%,20%,2566元,1/万分之,1/万分之,1/万分之,5,2.6元,2.4,,0.0935%
棉纱 (CY107),22595,23955/21235,20%,20%,22595元,4元,4元,0元,25,4元,21,,0.0929%
黄大豆2号 (b2106),4319,4664/3974,20%,20%,8638元,1元,1元,1元,10,2元,8,,0.0926%
郑麦 (WH109),2707,2843/2571,20%,20%,10828元,5元,5元,5元,20,10元,10,,0.0924%
原油 (sc2109),434.3,469/399.5,20%,20%,86860元,20元,20元,0元,100,20元,80,,0.0921%
豆油 (y2109),9580,10250/8910,20%,20%,19160元,2.5元,2.5元,0元,20,2.5元,17.5,,0.0913%
黄大豆2号 (b2109),4400,4752/4048,20%,20%,8800元,1元,1元,1元,10,2元,8,,0.0909%
棉纱 (CY106),23125,24515/21735,20%,20%,23125元,4元,4元,0元,25,4元,21,,0.0908%
纤维板 (fb2106),1323,1402/1244,20%,20%,2646元,1/万分之,1/万分之,1/万分之,5,2.6元,2.4,,0.0907%
原油 (sc2108),443.5,478.9/408,20%,20%,88700元,20元,20元,0元,100,20元,80,,0.0902%
原油 (sc2107),446.5,482.2/410.7,20%,20%,89300元,20元,20元,0元,100,20元,80,,0.0896%
不锈钢 (ss2110),20480,22525/18430,12%,12%,12288元,2元,2元,12元,25,14元,11,主力合约,0.0895%
黄大豆2号 (b2108),4479,4837/4121,20%,20%,8958元,1元,1元,1元,10,2元,8,,0.0893%
铁矿石 (i2106),1330,1476/1184,20%,20%,26600元,1/万分之,1/万分之,1/万分之,50,26.6元,23.4,,0.0880%
棉纱 (CY109),23875,25310/22440,20%,20%,23875元,4元,4元,0元,25,4元,21,,0.0880%
铁矿石 (i2107),1346,1480.5/1211.5,20%,20%,26920元,1/万分之,1/万分之,1/万分之,50,26.9元,23.1,,0.0858%
原油 (sc2110),468.2,505.6/430.7,20%,20%,93640元,20元,20元,0元,100,20元,80,,0.0854%
黄大豆1号 (a2207),5899,6370/5428,12%,12%,7078.8元,2元,2元,2元,10,4元,6,,0.0848%
黄大豆1号 (a2111),5900,6372/5428,12%,12%,7080元,2元,2元,2元,10,4元,6,主力合约,0.0847%
黄大豆1号 (a2201),5917,6390/5444,12%,12%,7100.4元,2元,2元,2元,10,4元,6,,0.0845%
黄大豆1号 (a2203),5917,6390/5444,12%,12%,7100.4元,2元,2元,2元,10,4元,6,,0.0845%
黄大豆1号 (a2205),5929,6403/5455,12%,12%,7114.8元,2元,2元,2元,10,4元,6,,0.0843%
郑醇 (MA207),2982,3191/2773,8%,8%,2385.6元,2元,2元,6元,10,8元,2,,0.0838%
郑醇 (MA208),2985,3194/2776,8%,8%,2388元,2元,2元,6元,10,8元,2,,0.0838%
郑醇 (MA209),2989,3199/2779,8%,8%,2391.2元,2元,2元,6元,10,8元,2,,0.0836%
郑醇 (MA206),3000,3210/2790,8%,8%,2400元,2元,2元,6元,10,8元,2,,0.0833%
沪铝 (al2109),22845,24670/21015,20%,20%,22845元,3元,3元,3元,25,6元,19,,0.0832%
郑醇 (MA205),3011,3222/2800,8%,8%,2408.8元,2元,2元,6元,10,8元,2,,0.0830%
白银 (ag2110),5026,5528/4523,12%,12%,9046.8元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.5元,7.5,,0.0829%
白银 (ag2111),5033,5536/4529,12%,12%,9059.4元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.5元,7.5,,0.0828%
焦炭 (j2107),2816,3041/2591,20%,20%,56320元,0.06/万分之,0.06/万分之,0.06/万分之,50,3.4元,46.6,,0.0827%
郑醇 (MA204),3065,3280/2850,8%,8%,2452元,2元,2元,6元,10,8元,2,,0.0816%
白银 (ag2112),5049,5553/4544,12%,12%,9088.2元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.6元,7.4,主力合约,0.0814%
郑醇 (MA203),3101,3319/2883,8%,8%,2480.8元,2元,2元,6元,10,8元,2,,0.0806%
白银 (ag2206),5120,5632/4608,12%,12%,9216元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.7元,7.3,,0.0792%
郑醇 (MA201),3165,3387/2943,8%,8%,2532元,2元,2元,6元,10,8元,2,主力合约,0.0790%
棉纱 (CY108),26685,28290/25080,20%,20%,26685元,4元,4元,0元,25,4元,21,,0.0787%
锰硅 (SM109),8948,9486/8410,20%,20%,8948元,3元,3元,0元,10,3元,7,,0.0782%
白糖 (SR107),5453,5781/5125,20%,20%,10906元,1.5元,1.5元,0元,10,1.5元,8.5,,0.0779%
国际铜 (bc2107),60610,65450/55760,20%,20%,60610元,0.1/万分之,0.1/万分之,0/万分之,50,3元,47,,0.0775%
玻璃 (FG106),2635,2846/2424,20%,20%,10540元,6元,6元,6元,20,12元,8,,0.0759%
国际铜 (bc2108),61900,66850/56940,20%,20%,61900元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.0758%
国际铜 (bc2109),62000,66960/57040,20%,20%,62000元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.0756%
聚丙烯 (pp2206),8871,9580/8162,9%,9%,3991.95元,1元,1元,1元,5,2元,3,,0.0752%
聚丙烯 (pp2207),8902,9614/8190,9%,9%,4005.9元,1元,1元,1元,5,2元,3,,0.0749%
聚丙烯 (pp2209),8947,9662/8232,9%,9%,4026.15元,1元,1元,1元,5,2元,3,,0.0745%
乙二醇 (eg2106),4700,5076/4324,20%,20%,9400元,3元,3元,0元,10,3元,7,,0.0745%
玻璃 (FG107),2700,2916/2484,20%,20%,10800元,6元,6元,6元,20,12元,8,,0.0741%
聚丙烯 (pp2208),9015,9736/8294,9%,9%,4056.75元,1元,1元,1元,5,2元,3,,0.0740%
聚丙烯 (pp2205),9022,9743/8301,9%,9%,4059.9元,1元,1元,1元,5,2元,3,,0.0739%
国际铜 (bc2106),63400,69100/57690,20%,20%,63400元,0.1/万分之,0/万分之,0/万分之,50,3.2元,46.8,,0.0738%
聚丙烯 (pp2204),9081,9807/8355,9%,9%,4086.45元,1元,1元,1元,5,2元,3,,0.0734%
聚丙烯 (pp2203),9110,9838/8382,9%,9%,4099.5元,1元,1元,1元,5,2元,3,,0.0732%
聚丙烯 (pp2110),9111,9839/8383,9%,9%,4099.95元,1元,1元,1元,5,2元,3,,0.0732%
红枣 (CJ109),9585,10260/8910,20%,20%,9585元,9元,9元,9元,25,18元,7,,0.0730%
乙二醇 (eg2108),4800,5184/4416,20%,20%,9600元,3元,3元,0元,10,3元,7,,0.0729%
聚丙烯 (pp2202),9145,9876/8414,9%,9%,4115.25元,1元,1元,1元,5,2元,3,,0.0729%
焦炭 (j2108),3170,3423.5/2916.5,20%,20%,63400元,0.06/万分之,0.06/万分之,0.06/万分之,50,3.8元,46.2,,0.0729%
聚丙烯 (pp2201),9189,9924/8454,9%,9%,4135.05元,1元,1元,1元,5,2元,3,主力合约,0.0726%
聚丙烯 (pp2112),9218,9955/8481,9%,9%,4148.1元,1元,1元,1元,5,2元,3,,0.0723%
聚丙烯 (pp2111),9232,9970/8494,9%,9%,4154.4元,1元,1元,1元,5,2元,3,,0.0722%
线材 (wr2106),5541,5984/5097,20%,20%,11082元,0.4/万分之,0/万分之,0/万分之,10,2.2元,7.8,,0.0704%
液化石油气 (pg2208),5181,5595/4767,11%,11%,11398.2元,6元,6元,6元,20,12元,8,,0.0702%
液化石油气 (pg2206),5191,5606/4776,11%,11%,11420.2元,6元,6元,6元,20,12元,8,,0.0701%
乙二醇 (eg2107),4998,5397/4599,20%,20%,9996元,3元,3元,0元,10,3元,7,,0.0700%
线材 (wr2107),5588,6035/5140,20%,20%,11176元,0.4/万分之,0.4/万分之,0/万分之,10,2.2元,7.8,,0.0698%
玻璃 (FG108),2928,3163/2693,20%,20%,11712元,6元,6元,6元,20,12元,8,,0.0683%
液化石油气 (pg2203),5360,5788/4932,11%,11%,11792元,6元,6元,6元,20,12元,8,,0.0678%
线材 (wr2108),5768,6229/5306,20%,20%,11536元,0.4/万分之,0.4/万分之,0/万分之,10,2.3元,7.7,,0.0667%
液化石油气 (pg2207),5466,5903/5029,11%,11%,12025.2元,6元,6元,6元,20,12元,8,,0.0665%
液化石油气 (pg2205),5499,5938/5060,11%,11%,12097.8元,6元,6元,6元,20,12元,8,,0.0661%
线材 (wr2109),5852,6320/5383,20%,20%,11704元,0.4/万分之,0.4/万分之,0/万分之,10,2.3元,7.7,,0.0658%
液化石油气 (pg2204),5568,6013/5123,11%,11%,12249.6元,6元,6元,6元,20,12元,8,,0.0653%
液化石油气 (pg2110),5713,6170/5256,11%,11%,12568.6元,6元,6元,6元,20,12元,8,,0.0637%
液化石油气 (pg2202),5727,6185/5269,11%,11%,12599.4元,6元,6元,6元,20,12元,8,,0.0635%
液化石油气 (pg2201),5746,6205/5287,11%,11%,12641.2元,6元,6元,6元,20,12元,8,,0.0633%
液化石油气 (pg2111),5756,6216/5296,11%,11%,12663.2元,6元,6元,6元,20,12元,8,主力合约,0.0632%
液化石油气 (pg2112),5761,6221/5301,11%,11%,12674.2元,6元,6元,6元,20,12元,8,,0.0631%
白糖 (SR109),5573,5908/5238,20%,20%,11146元,3元,3元,0元,10,3元,7,,0.0628%
乙二醇 (eg2109),5590,6037/5143,20%,20%,11180元,3元,3元,0元,10,3元,7,,0.0626%
黄金 (au2111),372.6,394.94/350.24,8%,8%,29808元,2元,2元,0元,20,2元,18,,0.0604%
黄金 (au2202),373.98,396.4/351.54,8%,8%,29918.4元,2元,2元,0元,20,2元,18,,0.0602%
黄金 (au2204),374.92,397.4/352.42,8%,8%,29993.6元,2元,2元,0元,20,2元,18,,0.0600%
短纤 (PF109),6688,7090/6286,20%,20%,6688元,3元,3元,3元,10,6元,4,,0.0598%
黄金 (au2208),377.12,399.74/354.48,8%,8%,30169.6元,2元,2元,0元,20,2元,18,,0.0597%
花生仁 (PK111),8420,9010/7830,8%,8%,3368元,4元,4元,4元,10,8元,2,,0.0594%
花生仁 (PK201),8432,9024/7840,8%,8%,3372.8元,4元,4元,4元,10,8元,2,主力合约,0.0593%
花生仁 (PK112),8442,9034/7850,8%,8%,3376.8元,4元,4元,4元,10,8元,2,,0.0592%
短纤 (PF106),6776,7184/6368,20%,20%,6776元,3元,3元,3元,10,6元,4,,0.0590%
花生仁 (PK203),8498,9094/7902,8%,8%,3399.2元,4元,4元,4元,10,8元,2,,0.0588%
花生仁 (PK204),8552,9152/7952,8%,8%,3420.8元,4元,4元,4元,10,8元,2,,0.0585%
不锈钢 (ss2109),18905,20225/17580,20%,20%,18905元,2元,2元,12元,25,14元,11,,0.0582%
短纤 (PF107),7174,7606/6742,20%,20%,7174元,3元,3元,3元,10,6元,4,,0.0558%
短纤 (PF108),7232,7666/6798,20%,20%,7232元,3元,3元,3元,10,6元,4,,0.0553%
油菜籽 (RS107),5719,6291/5147,20%,20%,11438元,2元,2元,2元,10,4元,6,主力合约,0.0525%
黄大豆1号 (a2109),5881,6351/5411,20%,20%,11762元,2元,2元,2元,10,4元,6,,0.0510%
油菜籽 (RS208),5892,6482/5302,20%,20%,11784元,2元,2元,2元,10,4元,6,,0.0509%
黄大豆1号 (a2107),5907,6379/5435,20%,20%,11814元,2元,2元,2元,10,4元,6,,0.0508%
油菜籽 (RS109),5907,6498/5316,20%,20%,11814元,2元,2元,2元,10,4元,6,,0.0508%
油菜籽 (RS108),5949,6544/5354,20%,20%,11898元,2元,2元,2元,10,4元,6,,0.0504%
白银 (ag2108),4989,5487/4490,20%,20%,14967元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.5元,7.5,,0.0501%
白银 (ag2109),4994,5493/4494,20%,20%,14982元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.5元,7.5,,0.0501%
油菜籽 (RS111),6006,6607/5405,20%,20%,12012元,2元,2元,2元,10,4元,6,,0.0500%
花生仁 (PK110),8372,8960/7784,10%,10%,4186元,4元,4元,4元,10,8元,2,,0.0478%
菜籽油 (OI107),10203,10816/9590,20%,20%,20406元,1元,1元,0元,10,1元,9,,0.0441%
液化石油气 (pg2106),4585,4951/4219,20%,20%,18340元,6元,6元,6元,20,12元,8,,0.0436%
白银 (ag2107),5402,5942/4861,20%,20%,16206元,0.5/万分之,0.5/万分之,0.5/万分之,15,8.1元,6.9,,0.0426%
白银 (ag2106),5592,6263/4920,20%,20%,16776元,0.5/万分之,0.5/万分之,0.5/万分之,15,8.4元,6.6,,0.0393%
液化石油气 (pg2107),5126,5536/4716,20%,20%,20504元,6元,6元,6元,20,12元,8,,0.0390%
液化石油气 (pg2108),5200,5616/4784,20%,20%,20800元,6元,6元,6元,20,12元,8,,0.0385%
液化石油气 (pg2109),5368,5797/4939,20%,20%,21472元,6元,6元,6元,20,12元,8,,0.0373%
菜籽油 (OI109),10786,11434/10138,20%,20%,21572元,2元,2元,0元,10,2元,8,,0.0371%
聚丙烯 (pp2106),8200,8774/7626,20%,20%,8200元,1元,1元,1元,5,2元,3,,0.0366%
聚丙烯 (pp2108),8400,8988/7812,20%,20%,8400元,1元,1元,1元,5,2元,3,,0.0357%
聚丙烯 (pp2109),8621,9224/8018,20%,20%,8621元,1元,1元,1元,5,2元,3,,0.0348%
聚丙烯 (pp2107),8714,9323/8105,20%,20%,8714元,1元,1元,1元,5,2元,3,,0.0344%
黄金 (au2112),372.94,395.3/350.56,8%,8%,29835.2元,10元,10元,0元,20,10元,10,主力合约,0.0335%
黄金 (au2206),374.8,397.2799/352.3,8%,8%,29984元,10元,10元,0元,20,10元,10,,0.0334%
沪镍 (ni2208),142470,153860/131070,10%,10%,14247元,3元,3元,3元,10,6元,4,,0.0281%
沪镍 (ni2205),142770,154190/131340,10%,10%,14277元,3元,3元,3元,10,6元,4,,0.0280%
沪镍 (ni2204),143310,154770/131840,10%,10%,14331元,3元,3元,3元,10,6元,4,,0.0279%
沪镍 (ni2206),143630,155120/132130,10%,10%,14363元,3元,3元,3元,10,6元,4,,0.0278%
沪镍 (ni2207),143810,155310/132300,10%,10%,14381元,3元,3元,3元,10,6元,4,,0.0278%
沪镍 (ni2203),144300,155840/132750,10%,10%,14430元,3元,3元,3元,10,6元,4,,0.0277%
沪镍 (ni2202),144960,156550/133360,10%,10%,14496元,3元,3元,3元,10,6元,4,,0.0276%
沪镍 (ni2201),144990,156580/133390,10%,10%,14499元,3元,3元,3元,10,6元,4,,0.0276%
沪镍 (ni2112),145630,157280/133970,10%,10%,14563元,3元,3元,3元,10,6元,4,,0.0275%
沪镍 (ni2111),146070,157750/134380,10%,10%,14607元,3元,3元,3元,10,6元,4,,0.0274%
沪镍 (ni2110),147270,159050/135480,10%,10%,14727元,3元,3元,3元,10,6元,4,主力合约,0.0272%
黄金 (au2110),372.54,394.88/350.18,10%,10%,37254元,10元,10元,0元,20,10元,10,,0.0268%
黄金 (au2107),367.5,389.54/345.44,20%,20%,73500元,2元,2元,0元,20,2元,18,,0.0245%
黄金 (au2109),368.24,390.32/346.14,20%,20%,73648元,2元,2元,0元,20,2元,18,,0.0244%
胶板 (bb2106),205.45,217.75/193.15,40%,40%,41090元,1/万分之,0.5/万分之,0.5/万分之,25,15.4元,9.6,,0.0234%
焦煤 (jm2208),2166,2360.5/1971.5,15%,15%,19494元,1/万分之,1/万分之,1/万分之,30,26元,4,,0.0205%
焦煤 (jm2207),2191.5,2388.5/1994.5,15%,15%,19723.5元,1/万分之,1/万分之,1/万分之,30,26.3元,3.7,,0.0188%
胶板 (bb2109),222,235.3/208.7,40%,40%,44400元,1/万分之,1/万分之,0.5/万分之,25,16.7元,8.3,,0.0187%
纯碱 (SA109),2748,2941/2555,20%,20%,10992元,6元,6元,12元,20,18元,2,,0.0182%
锡 (sn2207),237040,256000/218070,10%,10%,23704元,3元,3元,3元,10,6元,4,,0.0169%
锡 (sn2208),239460,258610/220300,10%,10%,23946元,3元,3元,3元,10,6元,4,,0.0167%
胶板 (bb2107),230.55,244.35/216.75,40%,40%,46110元,1/万分之,1/万分之,0.5/万分之,25,17.3元,7.7,,0.0167%
锡 (sn2204),241950,261300/222590,10%,10%,24195元,3元,3元,3元,10,6元,4,,0.0165%
锡 (sn2206),243550,263030/224060,10%,10%,24355元,3元,3元,3元,10,6元,4,,0.0164%
锡 (sn2205),246400,266110/226680,10%,10%,24640元,3元,3元,3元,10,6元,4,,0.0162%
锡 (sn2203),247100,266860/227330,10%,10%,24710元,3元,3元,3元,10,6元,4,,0.0162%
胶板 (bb2110),232.8,244.4/221.2,40%,40%,46560元,1/万分之,1/万分之,0.5/万分之,25,17.5元,7.5,主力合约,0.0161%
锡 (sn2202),249970,269960/229970,10%,10%,24997元,3元,3元,3元,10,6元,4,,0.0160%
锡 (sn2201),251390,271500/231270,10%,10%,25139元,3元,3元,3元,10,6元,4,,0.0159%
锡 (sn2112),253560,273840/233270,10%,10%,25356元,3元,3元,3元,10,6元,4,,0.0158%
锡 (sn2111),256380,276890/235860,10%,10%,25638元,3元,3元,3元,10,6元,4,,0.0156%
锡 (sn2110),258760,279460/238050,10%,10%,25876元,3元,3元,3元,10,6元,4,主力合约,0.0155%
沪镍 (ni2106),131870,143730/120000,20%,20%,26374元,3元,3元,3元,10,6元,4,,0.0152%
黄金 (au2108),366.74,388.74/344.72,20%,20%,73348元,10元,10元,0元,20,10元,10,,0.0136%
沪镍 (ni2109),147990,159820/136150,20%,20%,29598元,3元,3元,3元,10,6元,4,,0.0135%
焦煤 (jm2206),2278.5,2483.5/2073.5,15%,15%,20506.5元,1/万分之,1/万分之,1/万分之,30,27.3元,2.7,,0.0132%
黄金 (au2106),385.62,416.46/354.76,20%,20%,77124元,10元,10元,0元,20,10元,10,,0.0130%
锡 (sn2106),208370,227120/189610,20%,20%,41674元,3元,3元,3元,10,6元,4,,0.0096%
锡 (sn2109),256070,276550/235580,20%,20%,51214元,3元,3元,3元,10,6元,4,,0.0078%
沪镍 (ni2107),139700,150870/128520,20%,20%,27940元,3元,3元,6元,10,9元,1,,0.0036%
沪镍 (ni2108),148390,160260/136510,20%,20%,29678元,3元,3元,6元,10,9元,1,,0.0034%
焦煤 (jm2204),2446,2666/2226,15%,15%,22014元,1/万分之,1/万分之,1/万分之,30,29.4元,0.6,,0.0027%
锡 (sn2107),221280,238980/203570,20%,20%,44256元,3元,3元,6元,10,9元,1,,0.0023%
锡 (sn2108),240340,259560/221110,20%,20%,48068元,3元,3元,6元,10,9元,1,,0.0021%
螺纹钢 (rb2106),4898,5387/4408,20%,20%,9796元,1/万分之,1/万分之,1/万分之,10,9.8元,0.2,,0.0020%
螺纹钢 (rb2107),4950,5346/4554,20%,20%,9900元,1/万分之,1/万分之,1/万分之,10,9.9元,0.1,,0.0010%
尿素 (UR107),2650,2809/2491,20%,20%,10600元,10元,10元,10元,20,20元,0,,0.0000%
郑醇 (MA109),2932,3138/2726,20%,20%,5864元,2元,2元,8元,10,10元,0,,0.0000%
铜 (cu2107),68590,74070/63100,20%,20%,68590元,0.5/万分之,0.5/万分之,1/万分之,50,51.4元,-1.4,,-0.0020%
焦煤 (jm2203),2568,2799/2337,15%,15%,23112元,1/万分之,1/万分之,1/万分之,30,30.8元,-0.8,,-0.0035%
铜 (cu2108),70040,75640/64430,20%,20%,70040元,0.5/万分之,0.5/万分之,1/万分之,50,52.5元,-2.5,,-0.0036%
铜 (cu2109),70480,76110/64840,20%,20%,70480元,0.5/万分之,0.5/万分之,1/万分之,50,52.9元,-2.9,,-0.0041%
铜 (cu2106),71130,77530/64720,20%,20%,71130元,0.5/万分之,1/万分之,1/万分之,50,53.3元,-3.3,,-0.0046%
螺纹钢 (rb2208),5139,5652/4625,12%,12%,6166.8元,1/万分之,1/万分之,1/万分之,10,10.3元,-0.3,,-0.0049%
螺纹钢 (rb2209),5134,5647/4620,12%,12%,6160.8元,1/万分之,1/万分之,1/万分之,10,10.3元,-0.3,,-0.0049%
铜 (cu2203),69590,75150/64020,10%,10%,34795元,0.5/万分之,0.5/万分之,1/万分之,50,52.2元,-2.2,,-0.0063%
螺纹钢 (rb2206),5199,5718/4679,12%,12%,6238.8元,1/万分之,1/万分之,1/万分之,10,10.4元,-0.4,,-0.0064%
螺纹钢 (rb2207),5178,5695/4660,12%,12%,6213.6元,1/万分之,1/万分之,1/万分之,10,10.4元,-0.4,,-0.0064%
螺纹钢 (rb2108),5343,5770/4915,20%,20%,10686元,1/万分之,1/万分之,1/万分之,10,10.7元,-0.7,,-0.0066%
铜 (cu2201),69900,75490/64300,10%,10%,34950元,0.5/万分之,0.5/万分之,1/万分之,50,52.4元,-2.4,,-0.0069%
铜 (cu2202),69830,75410/64240,10%,10%,34915元,0.5/万分之,0.5/万分之,1/万分之,50,52.4元,-2.4,,-0.0069%
铜 (cu2112),69990,75580/64390,10%,10%,34995元,0.5/万分之,0.5/万分之,1/万分之,50,52.5元,-2.5,,-0.0071%
铜 (cu2208),70170,75780/64550,10%,10%,35085元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2205),70110,75710/64500,10%,10%,35055元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2111),70090,75690/64480,10%,10%,35045元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2204),70080,75680/64470,10%,10%,35040元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2206),70290,75910/64660,10%,10%,35145元,0.5/万分之,0.5/万分之,1/万分之,50,52.7元,-2.7,,-0.0077%
铜 (cu2110),70210,75820/64590,10%,10%,35105元,0.5/万分之,0.5/万分之,1/万分之,50,52.7元,-2.7,主力合约,-0.0077%
螺纹钢 (rb2205),5247,5771/4722,12%,12%,6296.4元,1/万分之,1/万分之,1/万分之,10,10.5元,-0.5,,-0.0079%
铜 (cu2207),70390,76020/64750,10%,10%,35195元,0.5/万分之,0.5/万分之,1/万分之,50,52.8元,-2.8,,-0.0080%
螺纹钢 (rb2204),5286,5814/4757,12%,12%,6343.2元,1/万分之,1/万分之,1/万分之,10,10.6元,-0.6,,-0.0095%
螺纹钢 (rb2203),5278,5805/4750,12%,12%,6333.6元,1/万分之,1/万分之,1/万分之,10,10.6元,-0.6,,-0.0095%
苯乙烯 (eb2107),10222,11244/9200,20%,20%,10222元,3元,3元,3元,5,6元,-1,,-0.0098%
螺纹钢 (rb2109),5572,6017/5126,20%,20%,11144元,1/万分之,1/万分之,1/万分之,10,11.1元,-1.1,,-0.0099%
焦煤 (jm2202),2698.5,2941/2456,15%,15%,24286.5元,1/万分之,1/万分之,1/万分之,30,32.4元,-2.4,,-0.0099%
热卷 (hc2106),5579,6136/5021,20%,20%,11158元,1/万分之,1/万分之,1/万分之,10,11.2元,-1.2,,-0.0108%
热卷 (hc2208),5365,5901/4828,12%,12%,6438元,1/万分之,1/万分之,1/万分之,10,10.7元,-0.7,,-0.0109%
