合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
天然橡胶 (ru2111),12955,13990/11915,10%,10%,12955元,3元,3元,0元,50,3元,47,,0.3628%
燃料油 (fu2203),2681,2895/2466,10%,10%,2681元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3618%
燃料油 (fu2204),2684,2898/2469,10%,10%,2684元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3614%
黄玉米 (c2203),2470,2642/2298,11%,11%,2717元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3607%
铁矿石 (i2110),755,838/672,13%,13%,9815元,1/万分之,1/万分之,1/万分之,50,15.1元,34.9,,0.3556%
燃料油 (fu2202),2737,2955/2518,10%,10%,2737元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3544%
黄玉米 (c2207),2514,2689/2339,11%,11%,2765.4元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3544%
PTA (TA203),4950,5298/4602,8%,8%,1980元,3元,3元,0元,10,3元,7,,0.3535%
PTA (TA204),4968,5316/4620,8%,8%,1987.2元,3元,3元,0元,10,3元,7,,0.3523%
PTA (TA206),4982,5332/4632,8%,8%,1992.8元,3元,3元,0元,10,3元,7,,0.3513%
PTA (TA205),4984,5334/4634,8%,8%,1993.6元,3元,3元,0元,10,3元,7,,0.3511%
PTA (TA207),4984,5334/4634,8%,8%,1993.6元,3元,3元,0元,10,3元,7,,0.3511%
PTA (TA201),4996,5346/4646,8%,8%,1998.4元,3元,3元,0元,10,3元,7,主力合约,0.3503%
PTA (TA208),4996,5346/4646,8%,8%,1998.4元,3元,3元,0元,10,3元,7,,0.3503%
PTA (TA209),5020,5372/4668,8%,8%,2008元,3元,3元,0元,10,3元,7,,0.3486%
PTA (TA110),4974,5324/4624,10%,10%,2487元,1.5元,1.5元,0元,10,1.5元,8.5,,0.3418%
天然橡胶 (ru2201),13805,14905/12700,10%,10%,13805元,3元,3元,0元,50,3元,47,主力合约,0.3405%
棉花 (CF207),17405,18450/16360,7%,7%,6091.75元,4.3元,4.3元,0元,25,4.3元,20.7,,0.3398%
棉花 (CF205),17425,18475/16375,7%,7%,6098.75元,4.3元,4.3元,0元,25,4.3元,20.7,,0.3394%
棉花 (CF203),17450,18500/16400,7%,7%,6107.5元,4.3元,4.3元,0元,25,4.3元,20.7,,0.3389%
燃料油 (fu2112),2862,3090/2633,10%,10%,2862元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3389%
